reference;type_article;designation;prix_achat;devise_prix_achat;prix_vente;devise_prix_vente;tva;remarque;marque;categorie;emplacement;unite
ART59564735;Produit;Porte-serviette 45 cm à fixer sur le verre. Warm Bronze Pvd.;365;EUR;;MAD;20;;;;;
ART59564299;Produit;Porte-serviette 45 cm à fixer sur le verre. Matte Black.;334;EUR;;MAD;20;;;;;
ART59564031;Produit;Porte-serviette 45 cm à fixer sur le verre. Chrome.;248;EUR;;MAD;20;;;;;
ART59564149;Produit;Porte-serviette 45 cm à fixer sur le verre. Finox Brushed Nickel.;334;EUR;;MAD;20;;;;;
ART59564030;Produit;Porte-serviette 45 cm à fixer sur le verre. Copper Pvd.;365;EUR;;MAD;20;;;;;
ART59564706;Produit;Porte-serviette 45 cm à fixer sur le verre. Black Metal Pvd.;365;EUR;;MAD;20;;;;;
ART68714726;Produit;Coffret parfum. TRAME Warm Bronze Br. Pvd.;672;EUR;;MAD;20;;;;;
ART68714707;Produit;Coffret parfum. TRAME Black Metal Br. Pvd.;672;EUR;;MAD;20;;;;;
ART11924726;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Warm Bronze Br. Pvd.;882;EUR;;MAD;20;;;;;
ART11924031;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Chrome.;559;EUR;;MAD;20;;;;;
ART11924149;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Finox Brushed Nickel.;755;EUR;;MAD;20;;;;;
ART11924030;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Copper Pvd.;826;EUR;;MAD;20;;;;;
ART11924706;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Black Metal Pvd.;826;EUR;;MAD;20;;;;;
ART11924707;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Black Metal Br. Pvd.;882;EUR;;MAD;20;;;;;
ART11924299;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Matte Black.;755;EUR;;MAD;20;;;;;
ART11924708;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Copper Brushed Pvd.;882;EUR;;MAD;20;;;;;
ART11924710;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Brass Pvd.;826;EUR;;MAD;20;;;;;
ART11924720;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Nickel Pvd.;826;EUR;;MAD;20;;;;;
ART11924727;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Brass Brushed Pvd.;882;EUR;;MAD;20;;;;;
ART11924735;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Warm Bronze Pvd.;826;EUR;;MAD;20;;;;;
ART73595726;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Warm Bronze Br. Pvd.;2,199;EUR;;MAD;20;;;;;
ART73595299;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Matte Black.;1,879;EUR;;MAD;20;;;;;
ART73595031;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Chrome.;1,392;EUR;;MAD;20;;;;;
ART73595149;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Finox Brushed Nickel.;1,879;EUR;;MAD;20;;;;;
ART73595030;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Copper Pvd.;2,060;EUR;;MAD;20;;;;;
ART73595706;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Black Metal Pvd.;2,060;EUR;;MAD;20;;;;;
ART73595707;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Black Metal Br. Pvd.;2,199;EUR;;MAD;20;;;;;
ART73595708;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Copper Brushed Pvd.;2,199;EUR;;MAD;20;;;;;
ART73595710;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Brass Pvd.;2,060;EUR;;MAD;20;;;;;
ART73595727;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Brass Brushed Pvd.;2,199;EUR;;MAD;20;;;;;
ART73595735;Produit;Partie apparente mitigeur lavabo au sol. RIGATO. Warm Bronze Pvd.;2,060;EUR;;MAD;20;;;;;
ART75002726;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Warm Bronze Br. Pvd.;901;EUR;;MAD;20;;;;;
ART75002299;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Matte Black.;770;EUR;;MAD;20;;;;;
ART75002031;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Chrome.;570;EUR;;MAD;20;;;;;
ART75002149;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Finox Brushed Nickel.;770;EUR;;MAD;20;;;;;
ART75002030;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Copper Pvd.;844;EUR;;MAD;20;;;;;
ART75002706;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Black Metal Pvd.;844;EUR;;MAD;20;;;;;
